gov_en,gov_ar,dis_en,dis_ar,subdistrict_en,subdistrict_ar,male.urban,female.urban ,total.urban,male.rural,female_rural,total.rural,male.pop,female.pop,total.pop
Ninewa,نينوى,Shikhan,الشيخان,Markaz Sheikhan,مركز قضاء الشيخان," 8,405 "," 9,360 "," 17,766 "," 2,864 "," 3,491 "," 6,355 "," 11,270 "," 12,851 "," 24,121 "
Ninewa,نينوى,Shikhan,الشيخان,Zilakan,زيلكان, 128 , 142 , 270 ," 7,611 "," 9,278 "," 16,888 "," 7,738 "," 9,420 "," 17,158 "
Ninewa,نينوى,Hatra,الحضر,Markaz Hatra,مركز قضاء الحضر," 3,316 "," 3,693 "," 7,009 "," 6,599 "," 8,044 "," 14,642 "," 9,915 "," 11,736 "," 21,651 "
Ninewa,نينوى,Hatra,الحضر,Al Tal,التل," 5,573 "," 6,206 "," 11,780 "," 9,976 "," 12,160 "," 22,136 "," 15,549 "," 18,367 "," 33,916 "
Ninewa,نينوى,Ba'aj,البعاج,Markaz Al Ba'aj,مركز قضاء البعاج," 13,213 "," 14,714 "," 27,927 "," 19,662 "," 23,968 "," 43,631 "," 32,876 "," 38,682 "," 71,558 "
Ninewa,نينوى,Ba'aj,البعاج,Al Qahtaniya,القحطانية," 25,748 "," 28,672 "," 54,420 "," 19,300 "," 23,527 "," 42,828 "," 45,048 "," 52,199 "," 97,247 "
Ninewa,نينوى,Makhmur,مخمور,Markaz Makhmour,مركز قضاء مخمور," 8,223 "," 9,157 "," 17,380 "," 13,808 "," 16,832 "," 30,641 "," 22,031 "," 25,989 "," 48,020 "
Ninewa,نينوى,Makhmur,مخمور,Gwyer,الكوير," 4,424 "," 4,926 "," 9,350 "," 26,834 "," 32,710 "," 59,543 "," 31,257 "," 37,636 "," 68,893 "
Ninewa,نينوى,Makhmur,مخمور,Kendinawah,كنديناوة," 1,516 "," 1,688 "," 3,204 "," 6,923 "," 8,439 "," 15,362 "," 8,439 "," 10,127 "," 18,566 "
Ninewa,نينوى,Makhmur,مخمور,Qaraj,قراج," 1,599 "," 1,780 "," 3,379 "," 14,424 "," 17,583 "," 32,007 "," 16,023 "," 19,363 "," 35,385 "
Ninewa,نينوى,Makhmur,مخمور,Malagrah,ملاقرة," 1,167 "," 1,300 "," 2,467 "," 9,676 "," 11,795 "," 21,471 "," 10,843 "," 13,094 "," 23,937 "
Ninewa,نينوى,Sumel,سميل,Faidah,فايدة," 31,304 "," 34,859 "," 66,163 "," 2,356 "," 2,872 "," 5,227 "," 33,660 "," 37,731 "," 71,390 "
Kirkuk,كركوك,Kirkuk,كركوك,Markaz Kirkuk,مركز قضاء كركوك," 541,274 "," 356,426 "," 897,700 ", 685 ," 1,877 "," 2,562 "," 541,959 "," 358,304 "," 900,262 "
Kirkuk,كركوك,Kirkuk,كركوك,Yaychi,يايجي," 2,187 "," 1,440 "," 3,627 "," 6,425 "," 17,610 "," 24,035 "," 8,612 "," 19,050 "," 27,662 "
Kirkuk,كركوك,Kirkuk,كركوك,Altun Qupri,التون كوبري," 15,976 "," 10,520 "," 26,496 "," 3,620 "," 9,922 "," 13,542 "," 19,596 "," 20,442 "," 40,037 "
Kirkuk,كركوك,Kirkuk,كركوك,Al Multaqa,الملتقى (ملا عبد الله)," 1,507 ", 993 ," 2,500 "," 3,568 "," 9,781 "," 13,349 "," 5,076 "," 10,773 "," 15,849 "
Kirkuk,كركوك,Kirkuk,كركوك,Taza Khurmatu,تازة خومارتو," 10,349 "," 6,815 "," 17,163 "," 4,311 "," 11,816 "," 16,127 "," 14,660 "," 18,631 "," 33,291 "
Kirkuk,كركوك,Kirkuk,كركوك,Laylan (Qara Hasan),ليلان," 5,381 "," 3,544 "," 8,925 "," 2,586 "," 7,089 "," 9,675 "," 7,967 "," 10,632 "," 18,600 "
Kirkuk,كركوك,Kirkuk,كركوك,Schwan,شوان," 2,029 "," 1,336 "," 3,365 "," 2,140 "," 5,865 "," 8,005 "," 4,169 "," 7,201 "," 11,370 "
Kirkuk,كركوك,Kirkuk,كركوك,Qara Hanjeer,قرة هنجير (الربيع)," 4,956 "," 3,263 "," 8,219 ", 894 ," 2,450 "," 3,344 "," 5,849 "," 5,713 "," 11,563 "
Kirkuk,كركوك,Al Hawiga,الحويجة,Al Hawija,مركز قضاء الحويجة," 25,450 "," 16,759 "," 42,209 "," 20,113 "," 55,131 "," 75,244 "," 45,564 "," 71,890 "," 117,454 "
Kirkuk,كركوك,Al Hawiga,الحويجة,Al Abassy,العباسي," 5,826 "," 3,836 "," 9,662 "," 11,822 "," 32,405 "," 44,227 "," 17,648 "," 36,241 "," 53,889 "
Kirkuk,كركوك,Al Hawiga,الحويجة,Al Riyad,الرياض," 5,929 "," 3,904 "," 9,834 "," 13,375 "," 36,660 "," 50,035 "," 19,304 "," 40,565 "," 59,869 "
