"","PlaceID","id","Governroate","District.x","Sub.District","Area","Place.x","sites.Religious.Buildings","sites.Unfinished.Buildings","sites.Open.Air","families.Religious.Buildings","families.Unfinished.Buildings","families.Open.Air","dtmfam.Religious.Buildings","dtmfam.Unfinished.Buildings","diff.Religious.Buildings","diff.Unfinished.Buildings","totalsites","totalfamilies","familysite","class.totalsites","class.familysite","Governorate","District.y","Place.y","Longitude","Latitude","base2","total","Master.Families","IDPs.in.Camps.or.transit.camps","School.Building","Mosques.Holly.Shrines","Abandoned.public.buildings.under.construction","Collective.centres","Informal.settlements","Military.Camps","Unknown.or.other","private.setting","communal.setting","communal.setting10","Hosted.or.Owned.Accomodation","Rented.Accomodation","Organised.site","Improvised.site","Squatted.schools","Open.air","class.family.fixed","class.quartile"
"32",8776,85,"Ninewa","Akre","Daratu","Daratu","Daratu",1,42,NA,4,174,NA,50,200,-46,-26,43,178,4.13953488372093,2,1,"Ninewa","Akre","Daratu",43.451,36.2715,"Disputed Territories",5700,950,0,0,60,1800,0,0,0,0,3840,1860,1800,2100,1740,60,1800,0,0,"500-2000","(870,5.42e+04]"
"33",8849,39,"Dahuk","Zakho","Batifa","Batifa","Batifa",2,127,NA,12,510,NA,281,650,-269,-140,129,522,4.04651162790698,3,1,"Dahuk","Zakho","Batifa",43.0141,37.1731,"KRI",8820,1470,0,2688,72,3060,0,0,0,1320,1680,5820,5820,1380,300,72,3060,2688,0,"500-2000","(870,5.42e+04]"
"34",8873,34,"Dahuk","Sumel","Batel","Miserik","Mserik",2,64,NA,21,294,NA,250,620,-229,-326,66,315,4.77272727272727,2,1,"Dahuk","Sumel","Misereek",42.9602,36.8992,"KRI",19500,3250,0,2358,126,2964,0,0,0,2700,11352,5448,5448,5706,5646,126,2964,2358,0,">2000","(870,5.42e+04]"
"35",10666,59,"Diyala","Khanaqin","","","Jabarawa",NA,32,NA,NA,36,NA,NA,NA,0,36,32,36,1.125,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36",10924,60,"Diyala","Khanaqin","","","Mala ziz",NA,7,NA,NA,20,NA,NA,NA,0,20,7,20,2.85714285714286,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37",11047,63,"Diyala","Khanaqin","","","Tolafrosh",NA,32,NA,NA,70,NA,0,0,0,70,32,70,2.1875,2,1,"Diyala","Khanaqin","Tula Frosh",45.38,34.34,"Disputed Territories",1848,308,0,0,0,0,0,0,0,0,1848,0,0,0,1848,0,0,0,0,"250-499","(870,5.42e+04]"
"38",11342,54,"Diyala","Khanaqin","","","Bakhtyari",NA,114,NA,NA,269,NA,NA,NA,0,269,114,269,2.35964912280702,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39",11617,75,"Erbil","Koisnjaq",NA,"Chnarok","Chnarok",1,1,NA,60,20,NA,NA,NA,60,20,2,80,40,1,2,"Erbil","Koisnjaq","Chnarok",44.63,36.11,"KRI",480,80,0,0,360,120,0,0,0,0,0,480,480,0,0,360,120,0,0,"50-99","(252,870]"
"40",11752,67,"Erbil","Erbil","Daratu","Daratu","Daratu",NA,40,NA,NA,220,NA,0,65,0,155,40,220,5.5,2,1,"Erbil","Erbil","Daratu",44.05,36.12,"KRI",708,118,0,0,0,708,0,0,0,0,0,708,708,0,0,0,708,0,0,"100-249","(252,870]"
"41",12356,64,"Erbil","Erbil","Ankawa","Ankawa","Ainkawa",9,49,NA,1255,527,NA,NA,NA,1255,527,58,1782,30.7241379310345,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
