"","Row.names","Governorate","District","Place","Longitude","Latitude","total","Master.Families","IDPs.in.Camps.or.transit.camps","School.Building","Mosques.Holly.Shrines","Abandoned.public.buildings.under.construction","Collective.centres","Informal.settlements","Military.Camps","Unknown.or.other","ID","bio5_17","bio6_17","bio10_17","bio11_17","bio12_17","bio13_17","bio14_17","bio15_17","bio16_17","bio17_17","bio18_17","bio19_17","maxtemp","mintemp","meanwarm","meancold"
"1597","732","Anbar","Al-Rutba","Al Askaree",40.277075,33.038952,1560,260,0,0,0,66,0,150,0,0,732,38.8,1.1,28.9,8.1,117,19,0,76,51,0,0,48,"35 to 40°C","0 to 5°C","25 to 30°C","5 to 10°C"
"1598","733","Anbar","Al-Rutba","Hay Al Meethagh",40.282946,33.039801,2700,450,0,0,240,270,42,372,0,0,733,38.8,1.1,28.9,8.1,117,19,0,76,51,0,0,48,"35 to 40°C","0 to 5°C","25 to 30°C","5 to 10°C"
"1599","734","Anbar","Al-Rutba","Antesar",40.27598,33.041954,3462,577,0,168,18,36,30,750,0,0,734,38.8,1.1,28.9,8.1,118,20,0,77,52,0,0,49,"35 to 40°C","0 to 5°C","25 to 30°C","5 to 10°C"
"1600","735","Anbar","Al-Rutba","Germany Company Location",40.341484,33.042615,456,76,0,0,0,0,0,456,0,0,735,38.8,1.1,29,8.1,115,19,0,74,50,0,0,47,"35 to 40°C","0 to 5°C","25 to 30°C","5 to 10°C"
"1601","736","Wassit","Badra","Badrah",45.836105,33.047991,360,60,0,0,360,0,0,0,0,0,736,43.7,4.9,33.6,11.8,203,43,0,97,115,0,0,115,"40 to 45°C","0 to 5°C","30 to 35°C","10 to 15°C"
"1602","737","Baghdad","Mahmoudiya","Al Rubaiy - 210",44.358713,33.052845,150,25,0,0,0,0,0,0,0,0,737,43.3,4.2,33.4,11.4,143,28,0,92,78,0,0,72,"40 to 45°C","0 to 5°C","30 to 35°C","10 to 15°C"
"1603","738","Baghdad","Mahmoudiya","Al-Rubaiy 204",44.358713,33.052845,5580,930,0,0,0,0,0,0,0,0,738,43.3,4.2,33.4,11.4,143,28,0,92,78,0,0,72,"40 to 45°C","0 to 5°C","30 to 35°C","10 to 15°C"
"1604","739","Baghdad","Mada'in","Diyalla Bridge",44.58111111,33.09888889,732,122,0,300,432,0,0,0,0,0,739,43.4,4.3,33.4,11.5,154,29,0,91,83,0,0,79,"40 to 45°C","0 to 5°C","30 to 35°C","10 to 15°C"
"1605","74","Basrah","Basrah","Bashar ST",47.8177,30.4991,6,1,0,0,0,0,0,0,0,0,74,41.8,6.7,33.7,13.5,152,33,0,94,87,0,0,85,"40 to 45°C","5 to 10°C","30 to 35°C","10 to 15°C"
"1606","740","Baghdad","Mahmoudiya","Hay Al Jam'eyah",44.372038,33.12025,282,47,0,0,0,0,0,0,0,0,740,43.3,4.1,33.3,11.3,148,29,0,88,81,0,0,74,"40 to 45°C","0 to 5°C","30 to 35°C","10 to 15°C"
