"","Governorate","District","Place","Longitude","Latitude","PlaceID","base2","total","Master.Families","IDPs.in.Camps.or.transit.camps","School.Building","Mosques.Holly.Shrines","Abandoned.public.buildings.under.construction","Collective.centres","Informal.settlements","Military.Camps","Unknown.or.other","private.setting","communal.setting","communal.setting10","Hosted.or.Owned.Accomodation","Rented.Accomodation","Organised.site","Improvised.site","Squatted.schools","Open.air"
"187","Sulaymaniyah","Dokan","Dakani Suro",44.96432,35.94466,"23162","KRI",108,18,0,108,0,0,0,0,0,0,0,108,108,0,0,0,0,108,0
"188","Erbil","Koisnjaq","Hamoon",44.6315,36.0767,"23279","KRI",780,130,0,0,0,0,0,0,0,0,780,0,0,0,780,0,0,0,0
"189","Erbil","Koisnjaq","Qalat",44.6274,36.0866,"23280","KRI",2628,438,0,0,0,0,0,0,0,0,2628,0,0,0,2628,0,0,0,0
"190","Sulaymaniyah","Dokan","Pishowa",45.14621,35.7345,"23333","KRI",954,159,0,12,0,0,0,0,0,0,942,12,0,0,942,0,0,12,0
"191","Sulaymaniyah","Sulaymaniya","Peshwa",45.14332,35.58954,"23536","KRI",636,106,0,0,0,0,0,0,0,0,636,0,0,0,636,0,0,0,0
"192","Dahuk","Dahuk","Al Sina'ah",43.206801,36.911741,"23580","KRI",1074,179,0,600,360,0,0,0,0,0,114,960,960,0,114,360,0,600,0
"193","Sulaymaniyah","Sulaymaniya","Qala",45.06723,35.65405,"23598","KRI",1026,171,0,0,0,0,0,0,0,0,1026,0,0,0,1026,0,0,0,0
"194","Sulaymaniyah","Sulaymaniya","Aqari",45.42524,35.55851,"23635","KRI",1500,250,0,0,0,0,0,0,0,0,1500,0,0,0,1500,0,0,0,0
"195","Erbil","Koisnjaq","Hamamok",44.613412,36.090507,"23657","KRI",1434,239,0,0,0,0,0,0,0,0,1434,0,0,0,1434,0,0,0,0
"196","Sulaymaniyah","Sulaymaniya","Arbat Camp",45.59069,35.43057,"23692","KRI",912,152,912,0,0,0,0,0,0,0,0,912,912,0,0,0,912,0,0
"197","Erbil","Shaqlawa","Sabirawa",44.34407,36.40108,"23698","KRI",7200,1200,0,0,0,0,0,0,0,0,7200,0,0,1200,6000,0,0,0,0
"198","Dahuk","Dahuk","Bazaar",43.083013,37.104649,"23710","KRI",4602,767,0,750,300,0,0,0,0,0,3552,1050,1050,0,3552,300,0,750,0
"199","Dahuk","Dahuk","Gali Dohuk",43.125261,36.840283,"23711","KRI",3744,624,0,1872,600,300,0,0,0,0,972,2772,2772,372,600,600,300,1872,0
"200","Dahuk","Dahuk","Raza",43.152941,36.840855,"23712","KRI",1800,300,0,930,0,300,0,0,0,0,570,1230,1230,210,360,0,300,930,0
"201","Erbil","Shaqlawa","Betarma",44.3445,36.39395,"23713","KRI",5220,870,0,0,1500,0,0,0,0,0,3720,1500,1500,0,3720,1500,0,0,0
